,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_Chinstrap,species_Gentoo,island_Dream,island_Torgersen
0,39.1,18.7,181.0,3750.0,1,0,0,0,1
1,39.5,17.4,186.0,3800.0,0,0,0,0,1
2,40.3,18.0,195.0,3250.0,0,0,0,0,1
4,36.7,19.3,193.0,3450.0,0,0,0,0,1
5,39.3,20.6,190.0,3650.0,1,0,0,0,1
6,38.9,17.8,181.0,3625.0,0,0,0,0,1
7,39.2,19.6,195.0,4675.0,1,0,0,0,1
12,41.1,17.6,182.0,3200.0,0,0,0,0,1
13,38.6,21.2,191.0,3800.0,1,0,0,0,1
14,34.6,21.1,198.0,4400.0,1,0,0,0,1
15,36.6,17.8,185.0,3700.0,0,0,0,0,1
16,38.7,19.0,195.0,3450.0,0,0,0,0,1
17,42.5,20.7,197.0,4500.0,1,0,0,0,1
18,34.4,18.4,184.0,3325.0,0,0,0,0,1
19,46.0,21.5,194.0,4200.0,1,0,0,0,1
20,37.8,18.3,174.0,3400.0,0,0,0,0,0
21,37.7,18.7,180.0,3600.0,1,0,0,0,0
22,35.9,19.2,189.0,3800.0,0,0,0,0,0
23,38.2,18.1,185.0,3950.0,1,0,0,0,0
24,38.8,17.2,180.0,3800.0,1,0,0,0,0
25,35.3,18.9,187.0,3800.0,0,0,0,0,0
26,40.6,18.6,183.0,3550.0,1,0,0,0,0
27,40.5,17.9,187.0,3200.0,0,0,0,0,0
28,37.9,18.6,172.0,3150.0,0,0,0,0,0
29,40.5,18.9,180.0,3950.0,1,0,0,0,0
30,39.5,16.7,178.0,3250.0,0,0,0,1,0
31,37.2,18.1,178.0,3900.0,1,0,0,1,0
32,39.5,17.8,188.0,3300.0,0,0,0,1,0
33,40.9,18.9,184.0,3900.0,1,0,0,1,0
34,36.4,17.0,195.0,3325.0,0,0,0,1,0
35,39.2,21.1,196.0,4150.0,1,0,0,1,0
36,38.8,20.0,190.0,3950.0,1,0,0,1,0
